City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,peleduy,112.7406,59.6289,268.72,97,100,1.15,RU,2023-04-24
80,katobu,122.5276,-4.9408,297.46,95,37,1.08,ID,2023-04-24
81,grand gaube,57.6608,-20.0064,298.36,82,32,3.1,MU,2023-04-24
82,nuuk,-51.7216,64.1835,277.49,75,100,4.63,GL,2023-04-24
83,evensk,159.2333,61.95,271.28,83,82,11.16,RU,2023-04-24
84,hermanus,19.2345,-34.4187,285.82,95,2,2.04,ZA,2023-04-24
85,tonosho,134.1833,34.4833,284.17,60,80,7.73,JP,2023-04-24
86,maceio,-35.7353,-9.6658,298.84,88,100,1.03,BR,2023-04-24
87,puerto ayora,-90.3518,-0.7393,303.13,86,94,3.13,EC,2023-04-24
88,necochea,-58.7368,-38.5473,289.58,78,19,4.19,AR,2023-04-24
89,nome,-165.4064,64.5011,269.35,54,0,8.23,US,2023-04-24
90,oranjemund,16.4333,-28.55,288.14,98,97,3.86,NA,2023-04-24
91,alappuzha,76.3264,9.49,299.78,84,86,1.67,IN,2023-04-24
92,carnarvon,113.6333,-24.8667,292.42,65,96,6.4,AU,2023-04-24
93,detva,19.4195,48.5608,282.74,97,100,1.71,SK,2023-04-24
94,hokitika,170.9667,-42.7167,284.8,78,100,1.96,NZ,2023-04-24
95,ugoofaaru,73.0,5.6667,302.24,67,100,2.2,MV,2023-04-24
96,bredasdorp,20.0403,-34.5322,288.3,82,0,2.41,ZA,2023-04-24
97,luderitz,15.1594,-26.6481,290.07,87,0,3.78,NA,2023-04-24
98,jalu,21.5482,29.0331,297.02,34,100,4.3,LY,2023-04-24
99,vaini,-175.2,-21.2,299.24,78,20,1.54,TO,2023-04-24
100,mashhad,59.6062,36.297,293.23,40,0,4.12,IR,2023-04-24
101,hami,93.45,42.8,285.93,18,6,1.36,CN,2023-04-24
102,fort nelson,-122.7002,58.8053,275.34,58,100,2.57,CA,2023-04-24
103,awjilah,21.2869,29.1081,296.31,39,98,5.09,LY,2023-04-24
104,lluta,-72.0142,-16.0147,285.29,65,50,2.87,PE,2023-04-24
105,shahr-e babak,55.1186,30.1165,289.18,43,97,4.75,IR,2023-04-24
106,honiara,159.95,-9.4333,301.23,78,93,1.02,SB,2023-04-24
107,lompoc,-120.4579,34.6391,296.87,66,20,11.18,US,2023-04-24
108,alice springs,133.8833,-23.7,282.9,87,0,3.12,AU,2023-04-24
109,yulara,130.9889,-25.2406,290.57,45,29,4.27,AU,2023-04-24
110,lebu,-73.65,-37.6167,285.98,83,48,1.94,CL,2023-04-24
111,ladario,-57.6017,-19.0047,302.31,70,20,3.6,BR,2023-04-24
112,torbay,-52.7314,47.6666,275.31,95,100,9.83,CA,2023-04-24
113,nang rong,102.7914,14.6377,300.38,62,99,1.61,TH,2023-04-24
114,hay river,-115.7999,60.8156,276.13,75,40,5.66,CA,2023-04-24
115,jutai,-68.9,-5.1833,296.01,98,97,2.37,BR,2023-04-24
116,omboue,9.2618,-1.5746,299.22,88,73,1.87,GA,2023-04-24
117,dunedin,170.5036,-45.8742,287.63,45,85,7.76,NZ,2023-04-24
118,wilmington,-77.9447,34.2257,293.1,59,100,4.12,US,2023-04-24
119,bandarbeyla,50.8122,9.4942,301.57,77,59,4.55,SO,2023-04-24
120,east london,27.9116,-33.0153,294.14,90,100,4.71,ZA,2023-04-24
121,karratha,116.8463,-20.7377,298.35,64,99,3.02,AU,2023-04-24
122,tual,132.75,-5.6667,301.36,73,17,1.27,ID,2023-04-24
123,disna,28.1971,55.568,282.31,75,5,3.24,BY,2023-04-24
124,prince albert,-105.7677,53.2001,283.12,43,100,9.26,CA,2023-04-24
125,chuy,-53.4616,-33.6971,292.74,89,88,4.59,UY,2023-04-24
126,jamestown,-79.2353,42.097,279.92,62,100,5.14,US,2023-04-24
127,drovyanaya,113.0333,51.5833,267.88,42,65,1.45,RU,2023-04-24
128,tisul,88.3122,55.7611,274.32,88,99,7.65,RU,2023-04-24
129,leningradskiy,178.4167,69.3833,259.73,87,56,5.27,RU,2023-04-24
130,chiredzi,31.6667,-21.05,292.08,72,4,1.63,ZW,2023-04-24
131,gulu,32.299,2.7746,291.44,95,93,0.13,UG,2023-04-24
132,bluff,168.3333,-46.6,284.71,83,94,15.27,NZ,2023-04-24
133,talnakh,88.3972,69.4865,274.38,77,84,3.98,RU,2023-04-24
134,sao filipe,-24.4956,14.8961,296.91,72,2,3.76,CV,2023-04-24
135,takestan,49.6959,36.0696,288.77,66,72,0.61,IR,2023-04-24
136,castro,-50.0119,-24.7911,287.89,82,4,2.12,BR,2023-04-24
137,san policarpo,125.5072,12.1791,299.72,81,55,3.24,PH,2023-04-24
138,zambezi,23.1047,-13.5432,292.53,69,99,2.28,ZM,2023-04-24
139,kodiak,-152.4072,57.79,278.88,49,0,5.14,US,2023-04-24
140,gat,34.7642,31.61,289.71,75,18,0.92,IL,2023-04-24
141,hasaki,140.8333,35.7333,284.37,51,47,5.39,JP,2023-04-24
142,cape coast,-1.2466,5.1053,301.12,82,100,2.84,GH,2023-04-24
143,margate,1.3862,51.3813,280.32,83,100,3.58,GB,2023-04-24
144,santa vitoria,-50.1214,-18.8386,297.36,65,37,2.22,BR,2023-04-24
145,puerto madryn,-65.0385,-42.7692,296.88,30,50,11.34,AR,2023-04-24
146,bonthe,-12.505,7.5264,301.17,84,57,3.35,SL,2023-04-24
147,luanda,13.2343,-8.8368,300.15,89,40,2.06,AO,2023-04-24
148,lakatoro,167.4164,-16.0999,300.91,74,73,2.45,VU,2023-04-24
149,burns lake,-125.7533,54.2331,282.83,76,85,3.99,CA,2023-04-24
150,georgetown,100.3354,5.4112,299.11,94,20,2.06,MY,2023-04-24
151,san quintin,-115.95,30.4833,290.22,69,0,6.02,MX,2023-04-24
152,ikom,8.7063,5.9667,298.38,85,63,1.32,NG,2023-04-24
153,quatre cocos,57.7625,-20.2078,298.2,81,30,3.26,MU,2023-04-24
154,bengkulu,102.2655,-3.8004,297.57,89,98,2.04,ID,2023-04-24
155,mayo,-76.5119,38.8876,289.51,36,75,3.09,US,2023-04-24
156,chik,82.4311,54.9928,272.01,68,0,5.0,RU,2023-04-24
157,goderich,-81.7165,43.7501,278.66,70,69,3.09,CA,2023-04-24
158,tiarei,-149.3333,-17.5333,302.16,80,57,5.73,PF,2023-04-24
159,kaitangata,169.8464,-46.2817,287.55,60,65,7.49,NZ,2023-04-24
160,cidreira,-50.2056,-30.1811,294.33,80,28,4.73,BR,2023-04-24
161,nioro,-15.75,13.35,304.43,28,6,5.92,GM,2023-04-24
162,nikolskoye,30.7861,59.7035,285.26,78,70,1.96,RU,2023-04-24
163,solosolo,-171.6418,-13.875,299.73,75,64,3.97,WS,2023-04-24
164,comodoro rivadavia,-67.5,-45.8667,298.07,8,0,6.17,AR,2023-04-24
165,vardo,31.1107,70.3705,271.14,74,100,8.23,NO,2023-04-24
166,the valley,-63.0578,18.217,301.07,74,40,3.09,AI,2023-04-24
167,coquimbo,-71.3436,-29.9533,290.0,77,20,5.14,CL,2023-04-24
168,terney,136.6092,45.0503,279.48,41,21,2.14,RU,2023-04-24
169,constitucion,-72.4167,-35.3333,286.1,87,13,4.21,CL,2023-04-24
170,rosetta,30.4164,31.4044,290.62,73,1,3.86,EG,2023-04-24
171,miri,114.0089,4.4148,298.23,94,40,0.0,MY,2023-04-24
172,naraura,78.3833,28.2,295.61,41,0,2.56,IN,2023-04-24
173,mar del plata,-57.5575,-38.0023,292.09,91,100,3.13,AR,2023-04-24
174,tromso,18.957,69.6496,271.14,74,0,1.54,NO,2023-04-24
